排行,證券名稱,,市值佔 大盤比重,排行,證券名稱,,市值佔 大盤比重
264,2393,億光,0.0397%,718,3050,鈺德,0.0065%
265,4137,麗豐-KY,0.0397%,719,1473,台南,0.0065%
266,8131,福懋科,0.0396%,720,4566,時碩工業,0.0065%
267,2312,金寶,0.0396%,721,4545,銘鈺,0.0065%
268,6202,盛群,0.0393%,722,6698,旭暉應材,0.0065%
269,1710,東聯,0.0382%,723,8442,威宏-KY,0.0065%
270,1903,士紙,0.0382%,724,8011,台通,0.0064%
271,2332,友訊,0.038%,725,1568,倉佑,0.0064%
272,3708,上緯投控,0.038%,726,1439,中和,0.0064%
273,4927,泰鼎-KY,0.0374%,727,2069,運錩,0.0064%
274,4943,康控-KY,0.0374%,728,2038,海光,0.0064%
275,9937,全國,0.0371%,729,3031,佰鴻,0.0064%
276,6282,康舒,0.037%,730,4930,燦星網,0.0063%
277,1718,中纖,0.0368%,731,8411,福貞-KY,0.0062%
278,4536,拓凱,0.0367%,732,4557,永新-KY,0.0061%
279,6166,凌華,0.0363%,733,4106,雃博,0.0061%
280,1104,環泥,0.0361%,734,8103,瀚荃,0.0061%
281,2481,強茂,0.036%,735,3040,遠見,0.0061%
282,4935,茂林-KY,0.036%,736,1733,五鼎,0.0061%
283,1598,岱宇,0.0357%,737,1235,興泰,0.006%
284,2524,京城,0.0354%,738,3701,大眾控,0.006%
285,2367,燿華,0.0352%,739,3356,奇偶,0.0059%
286,2351,順德,0.0352%,740,8249,菱光,0.0059%
287,3006,晶豪科,0.035%,741,9944,新麗,0.0059%
288,5007,三星,0.035%,742,3321,同泰,0.0059%
289,9925,新保,0.0349%,743,2488,漢平,0.0058%
290,2421,建準,0.0342%,744,1337,再生-KY,0.0058%
291,1103,嘉泥,0.0342%,745,1817,凱撒衛,0.0058%
292,1515,力山,0.0341%,746,8467,波力-KY,0.0058%
293,6504,南六,0.0339%,747,6671,三能-KY,0.0058%
294,8081,致新,0.0338%,748,4725,信昌化,0.0057%
295,6464,台數科,0.0337%,749,8374,羅昇,0.0057%
296,1519,華城,0.0337%,750,1906,寶隆,0.0057%
297,2387,精元,0.0335%,751,1721,三晃,0.0057%
298,2515,中工,0.0333%,752,1731,美吾華,0.0056%
299,3563,牧德,0.0329%,753,3543,州巧,0.0056%
300,2913,農林,0.0327%,754,4148,全宇生技-KY,0.0056%
301,3030,德律,0.0324%,755,6674,鋐寶科技,0.0056%
302,6541,泰福-KY,0.0324%,756,6216,居易,0.0056%
303,6533,晶心科,0.0322%,757,6142,友勁,0.0055%
304,2851,中再保,0.0322%,758,6641,基士德-KY,0.0055%
305,1702,南僑,0.0322%,759,3686,達能,0.0055%
306,1234,黑松,0.0321%,760,1316,上曜,0.0055%
307,1305,華夏,0.0319%,761,1531,高林股,0.0055%
308,1532,勤美,0.0317%,762,3025,星通,0.0055%
309,2908,特力,0.0316%,763,1452,宏益,0.0054%
310,2545,皇翔,0.0315%,764,3588,通嘉,0.0054%
311,6451,訊芯-KY,0.0315%,765,4967,十銓,0.0054%
312,3380,明泰,0.0313%,766,6442,光聖,0.0053%
313,1609,大亞,0.0308%,767,8072,陞泰,0.0053%
314,1419,新紡,0.0306%,768,6155,鈞寶,0.0053%
315,8213,志超,0.03%,769,5706,鳳凰,0.0053%
316,8112,至上,0.0299%,770,8367,建新國際,0.0053%
317,2355,敬鵬,0.0298%,771,1416,廣豐,0.0053%
318,2850,新產,0.0298%,772,1417,嘉裕,0.0053%
319,6191,精成科,0.0296%,773,1220,台榮,0.0053%
320,3705,永信,0.0296%,774,1423,利華,0.0052%
321,8163,達方,0.0294%,775,1617,榮星,0.0052%
322,2547,日勝生,0.0292%,776,2630,亞航,0.0052%
323,6177,達麗,0.0291%,777,2483,百容,0.0052%
324,8462,柏文,0.0289%,778,5608,四維航,0.0052%
325,3035,智原,0.0289%,779,5258,虹堡,0.0052%
326,2031,新光鋼,0.0289%,780,4916,事欣科,0.0051%
327,2208,台船,0.0285%,781,3419,譁裕,0.0051%
328,1218,泰山,0.0285%,782,6591,動力-KY,0.0051%
329,1444,力麗,0.0284%,783,2427,三商電,0.0051%
330,1726,永記,0.0281%,784,3013,晟銘電,0.0051%
331,8482,商億-KY,0.028%,785,1463,強盛,0.0051%
332,8039,台虹,0.028%,786,1410,南染,0.0051%
333,2417,圓剛,0.0278%,787,1340,勝悅-KY,0.005%
334,1537,廣隆,0.0277%,788,1809,中釉,0.005%
335,1905,華紙,0.0276%,789,3027,盛達,0.005%
336,3014,聯陽,0.0275%,790,3164,景岳,0.005%
337,2239,英利-KY,0.0274%,791,3054,立萬利,0.005%
338,1308,亞聚,0.0274%,792,3311,閎暉,0.0049%
339,9930,中聯資源,0.0274%,793,6152,百一,0.0049%
340,2534,宏盛,0.0273%,794,6136,富爾特,0.0049%
341,1309,台達化,0.0272%,795,3094,聯傑,0.0048%
342,5471,松翰,0.0272%,796,3060,銘異,0.0048%
343,9911,櫻花,0.0271%,797,1466,聚隆,0.0048%
344,3704,合勤控,0.027%,798,1468,昶和,0.0047%
345,2836,高雄銀,0.027%,799,9955,佳龍,0.0047%
346,6706,惠特,0.0269%,800,2702,華園,0.0046%
347,2478,大毅,0.0268%,801,2543,皇昌,0.0045%
348,6579,研揚,0.0267%,802,4141,龍燈-KY,0.0045%
349,2328,廣宇,0.0266%,803,5225,東科-KY,0.0045%
350,2704,國賓,0.0263%,804,4956,光鋐,0.0045%
351,4438,廣越,0.0263%,805,2936,客思達-KY,0.0044%
352,4906,正文,0.0262%,806,2901,欣欣,0.0044%
353,1201,味全,0.0262%,807,3312,弘憶股,0.0044%
354,1582,信錦,0.0259%,808,2904,匯僑,0.0043%
355,1256,鮮活果汁-KY,0.0257%,809,2440,太空梭,0.0043%
356,4532,瑞智,0.0256%,810,1587,吉茂,0.0043%
357,2034,允強,0.0253%,811,3591,艾笛森,0.0043%
358,1604,聲寶,0.0252%,812,2453,凌群,0.0042%
359,8210,勤誠,0.0251%,813,1529,樂士,0.0041%
360,1714,和桐,0.025%,814,1474,弘裕,0.0041%
361,1614,三洋電,0.0248%,815,1506,正道,0.0041%
362,3530,晶相光,0.0248%,816,1735,日勝化,0.0041%
363,3450,聯鈞,0.0246%,817,1783,和康生,0.004%
364,2727,王品,0.0245%,818,1724,台硝,0.004%
365,2540,愛山林,0.0243%,819,2032,新鋼,0.004%
366,2340,光磊,0.0243%,820,2305,全友,0.004%
367,4119,旭富,0.0243%,821,1528,恩德,0.004%
368,3712,永崴投控,0.0242%,822,1456,怡華,0.004%
369,6277,宏正,0.0241%,823,2415,錩新,0.004%
370,1110,東泥,0.0241%,824,3535,晶彩科,0.004%
371,2323,中環,0.024%,825,8429,金麗-KY,0.004%
372,1589,永冠-KY,0.0239%,826,3607,谷崧,0.0039%
373,4306,炎洲,0.0236%,827,5284,jpp-KY,0.0038%
374,4414,如興,0.0235%,828,2444,兆勁,0.0038%
375,2331,精英,0.0233%,829,1470,大統新創,0.0037%
376,4576,大銀微系統,0.0232%,830,6117,迎廣,0.0037%
377,2614,東森,0.0231%,831,6625,必應,0.0037%
378,2102,泰豐,0.023%,832,1236,宏亞,0.0036%
379,8404,百和興業-KY,0.0229%,833,2024,志聯,0.0036%
380,1711,永光,0.0228%,834,1445,大宇,0.0035%
381,2338,光罩,0.0226%,835,4720,德淵,0.0035%
382,1310,台苯,0.0226%,836,3296,勝德,0.0034%
383,9943,好樂迪,0.0226%,837,3018,同開,0.0034%
384,2605,新興,0.0225%,838,3021,鴻名,0.0034%
385,2489,瑞軒,0.0225%,839,3058,立德,0.0033%
386,2401,凌陽,0.0224%,840,2431,聯昌,0.0033%
387,2363,矽統,0.0223%,841,1465,偉全,0.0033%
388,6120,達運,0.0221%,842,1443,立益,0.0033%
389,2348,海悅,0.022%,843,6431,光麗-KY,0.0033%
390,1307,三芳,0.022%,844,6215,和椿,0.0032%
391,1325,恆大,0.022%,845,1438,三地開發,0.0032%
392,2375,凱美,0.022%,846,1432,大魯閣,0.0031%
393,6416,瑞祺電通,0.0218%,847,1539,巨庭,0.0031%
394,6206,飛捷,0.0217%,848,1540,喬福,0.0031%
395,3049,和鑫,0.0216%,849,1616,億泰,0.0031%
